Feature: phone, Score: 300.00000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: call, Score: 170.00000000073828, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: introduced, Score: 170.00000000073828, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: car, Score: 160.00000000069485, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: telephone, Score: 156.93273560348857, Log-Likelihood: 1.9138138488230312, Predicted Sense: phone
Feature: voice, Score: 150.00000000065143, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: fed, Score: 140.000000000608, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: food, Score: 140.000000000608, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: personal, Score: 140.000000000608, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: brands, Score: 130.00000000056457, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: bell, Score: 120.00000000052114, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: cars, Score: 120.00000000052114, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: compaq, Score: 120.00000000052114, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: dead, Score: 120.00000000052114, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: distance, Score: 120.00000000052114, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: models, Score: 110.00000000047771, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: apple, Score: 100.00000000043428, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: came, Score: 100.00000000043428, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: auto, Score: 90.00000000039086, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: banks, Score: 90.00000000039086, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: foods, Score: 90.00000000039086, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: frozen, Score: 90.00000000039086, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: telecommunications, Score: 90.00000000039086, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: compatible, Score: 80.00000000034743, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: gab, Score: 80.00000000034743, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: markets, Score: 80.00000000034743, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: apparel, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: bellsouth, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: callers, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: free, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: rochester, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
